需求编号,优先级,标题,所属应用或基础库,源码模块,里程碑,状态,验收结果
FR-PRJ-001,P0,支持新建、打开、另存、关闭和最近项目,core,core,MS-01,已实现,通过
FR-PRJ-002,P0,保存数据源、描述符、已读范围、选区、标记、通道、处理链、布局和结果引用,core,core,MS-01,已实现,通过
FR-PRJ-003,P0,项目采用临时文件加原子替换,core,core,MS-01,已实现,通过
FR-PRJ-004,P0,不修改源采样文件,core,core,MS-01,已实现,通过
FR-PRJ-005,P0,以路径、大小、修改时间和抽样哈希识别源版本变化,core,core,MS-01,已实现,通过
FR-PRJ-006,P1,支持相对路径、批量重定位和只读打开。,core,core,MS-01,已实现,通过
FR-PRJ-007,P0,项目包含 `schemaVersion`,core,core,MS-01,已实现,通过
FR-PRJ-008,P1,支持自动保存和异常退出恢复点。,core,core,MS-01,已实现,通过
FR-PRJ-009,P0,当前数据源切换必须是原子上下文切换,core,core,MS-01,已实现,通过
FR-PRJ-010,P0,全局页面、底部面板和状态栏必须显示一致的当前项目、数据源及版本,core,core,MS-01,已实现,通过
FR-DAT-001,P0,同一版本完整支持实信号和复信号的导入、浏览、选区和导出闭环。,data,data,MS-01,已实现,通过
FR-DAT-002,P0,RAW 支持 Int8、UInt8、Int16、UInt16、Int24 Packe,data,data,MS-01,已实现,通过
FR-DAT-003,P0,复信号支持 IQ/QI 与交错布局,data,data,MS-01,已实现,通过
FR-DAT-004,P0,多字节类型支持小端/大端并检查帧对齐,data,data,MS-01,已实现,通过
FR-DAT-005,P0,导入向导采集文件/格式、实复类型、样本类型、布局/顺序、字节序、采样率、幅值解释、比,data,data,MS-01,已实现,通过
FR-DAT-006,P0,实信号中心频率可选,data,data,MS-01,已实现,通过
FR-DAT-007,P0,复信号支持基带/绝对频率切换,data,data,MS-01,已实现,通过
FR-DAT-008,P0,WAV 支持单通道实信号和用户确认映射的双通道 I/Q。,data,data,MS-01,已实现,通过
FR-DAT-009,P1,MAT、NPY/NPZ 和厂商格式通过适配器或插件生成标准描述符。,data,data,MS-01,已实现,通过
FR-DAT-010,P0,提供限定长度预览、统计量和快速频谱,data,data,MS-01,已实现,通过
FR-DAT-011,P0,检测 NaN、Inf、全零、削顶、直流偏置和异常幅值，以告警而非静默修正处理。,data,data,MS-01,已实现,通过
FR-DAT-012,P1,支持版本化 JSON 侧车，并显示字段来源和用户确认状态。,data,data,MS-01,已实现,通过
FR-DAT-013,P0,文件大小、可用帧数、总时长和初始化目标均由实际文件与确认后的描述符计算,data,data,MS-01,已实现,通过
FR-DAT-014,P0,前台初始化目标不得超过实际剩余可读字节，采用 `min(configuredInit,data,data,MS-01,已实现,通过
FR-DAT-015,P0,数据加载提供暂停、继续和取消,data,data,MS-01,已实现,通过
FR-DAT-016,P0,取消后停止后续读取，发布从请求起点到最后完整样本帧的只读 `LoadedDataRa,data,data,MS-01,已实现,通过
FR-DAT-017,P0,取消后不得索引或导航未读尾部,data,data,MS-01,已实现,通过
FR-DAT-018,P0,解析失败不得发布未校验数据源,data,data,MS-01,已实现,通过
FR-DAT-019,P0,同一导入尝试的进度弹窗、任务中心和日志使用同一任务状态源，不得重复创建任务或定时器。,data,data,MS-01,已实现,通过
