需求ID,需求域,基线需求,优先级,里程碑,验证方式,验收判据,来源章节,状态
SS-BIZ-001,产品范围,软件应面向 Windows 10/11 x64 的离线 IQ 文件分析，不包含 SDR 实时采集与设备控制。,P0,M1,I,安装包可在目标系统运行；不存在实时采集入口或设备控制依赖。,"2.1, 2.3",已基线化
SS-BIZ-002,产品范围,V1.0 应同时提供宽带分析上下文和窄带分析通道。,P0,M2,D/T,可加载宽带文件并创建至少一个窄带通道完成分析。,2.1,已基线化
SS-BIZ-003,产品范围,宽带发现、窄带提取、精细分析、结果回写、项目保存恢复应形成闭环。,P0,M2,T,AT-003 与 AT-008 全部通过。,"2.2, 4.1",已基线化
SS-BIZ-004,可追溯性,任何持久化分析结果应可追溯到数据源、原始样本范围、处理参数、算法/模型/插件版本和软件构建版本。,P0,M4,I/T,抽查任一结果均能还原全部追溯字段。,4.1,已基线化
SS-BIZ-005,本地化,V1.0 默认中文界面，并预留英文资源切换能力。,P0,M4,I/D,默认启动为中文；界面文本不硬编码于核心逻辑。,21.5,已基线化
SS-BIZ-006,范围控制,P1/P2 条目不作为 V1.0 发布阻断项，除非经批准的需求变更提升为 P0。,P0,M4,I,发布检查仅以 P0 基线矩阵为准。,32,已基线化
SS-BIZ-007,数据规模,V1.0 应支持至少 100 GB 单文件浏览，架构不得依赖完整文件载入内存。,P0,M1,T,参考环境加载 100 GB 基准文件，内存满足 SS-NFR-006。,"4.1, 18.5",已基线化
SS-BIZ-008,频宽能力,V1.0 数据模型、坐标和显示链应支持采样率元数据不低于 500 MS/s，以覆盖约 400 MHz 级宽带 IQ 分析。,P0,M1,T/A,导入 500 MS/s 数据，坐标、FFT/STFT 参数与显示无溢出或截断。,"9, 10",已基线化
SS-DAT-001,数据访问,V1.0 必须支持 RAW IQ 导入。,P0,M1,T,AT-001 使用 RAW IQ 成功导入并恢复配置。,18.1,已基线化
SS-DAT-002,数据访问,V1.0 必须支持 WAV IQ 导入。,P0,M1,T,至少覆盖 16-bit/32-bit WAV IQ 用例。,18.1,已基线化
SS-DAT-003,数据访问,RAW 导入应支持数据类型、符号性、大小端、IQ/QI、交织、实/复、头偏移、通道、采样率、中心频率、起始时间和幅度标定配置。,P0,M1,T,配置项逐项保存、重载并影响解析结果。,18.3,已基线化
SS-DAT-004,数据访问,至少支持 Int8/UInt8/Int16/UInt16/Int32/Float32/Float64 以及复数 Int16/Float32/Float64。,P0,M1,T,每种类型至少一个样例导入正确。,18.2,已基线化
SS-DAT-005,数据访问,文件导入应检查可读性、长度对齐、尾部不完整样本、采样率、中心频率和数据类型合法性。,P0,M1,T,异常样例给出明确错误或可恢复警告。,18.4,已基线化
SS-DAT-006,数据访问,大文件访问应采用内存映射、分块读取、异步预取或等效按需机制。,P0,M1,I/T,代码审查无整文件读取；100 GB 文件可浏览。,18.5,已基线化
SS-DAT-007,数据访问,分析期间数据源被修改时，系统应检测并使相关缓存/结果失效。,P0,M4,T,修改基准文件后提示并禁止静默沿用旧结果。,"18.4, 19.3",已基线化
SS-DAT-008,数据访问,数据源应保存文件指纹，至少包含大小、修改时间及头尾哈希。,P0,M1,I/T,项目重开时可识别同名不同内容文件。,"8.1, 19.3",已基线化
SS-DAT-009,数据访问,SigMF、NumPy 和 MAT 支持作为 P1 扩展，不阻断 V1.0。,P1,M3,I,接口和格式注册机制存在即可。,18.1,已基线化
SS-DAT-010,数据访问,网络盘断开或读取失败不得导致主程序崩溃。,P0,M4,T,断开网络盘时任务失败可恢复，UI 继续可用。,27,已基线化
SS-COO-001,坐标系统,所有时间定位应以 64 位原始样本索引为基准。,P0,M1,I/T,长文件定位无 32 位溢出，序列化保持整数精度。,9.1,已基线化
SS-COO-002,坐标系统,时间与样本索引转换应满足 $t=t_0+n/F_s$。,P0,M1,A/T,参考点换算误差不超过 1 个原始样本。,9.1,已基线化
SS-COO-003,坐标系统,重采样、滤波和分块处理必须保存到原始样本坐标的映射并补偿群时延。,P0,M2,T,窄带结果回写误差不超过 1 个原始样本。,"9.1, 13.5",已基线化
SS-COO-004,坐标系统,复基带绝对频率应满足 $f_{abs}=f_c+f_{bb}$。,P0,M1,A/T,已知单音频点显示误差不超过 1 个显示频点。,9.2,已基线化
SS-COO-005,坐标系统,支持绝对频率与基带频率显示切换；缺少中心频率时使用基带频率。,P0,M1,D/T,切换后数据位置一致、轴标签正确。,9.2,已基线化
SS-COO-006,坐标系统,IQ/QI、I/Q 取反以及实/复信号的频谱方向和单双边规则必须明确处理。,P0,M1,T,镜像与单边/双边基准用例通过。,"9.2, 13.2",已基线化
SS-COO-007,坐标系统,频率、时间、带宽和采样率内部计算不得使用会导致基线数据范围精度丢失的单精度表示。,P0,M1,I/T,静态检查与边界数据测试通过。,9,已基线化
SS-COO-008,坐标系统,UI 应支持秒、毫秒、微秒和样本索引显示。,P0,M1,D,四种单位可切换且定位一致。,9.1,已基线化
SS-WB-001,宽带分析,宽带模式应提供时域、频域和时频域视图。,P0,M1,D/T,三视图可对当前数据源显示。,10.1,已基线化
SS-WB-002,宽带分析,首次打开应优先显示低分辨率概览，不等待完整索引。,P0,M1,T,无缓存 100 GB 文件低分辨率首帧满足 SS-NFR-002。,10.1,已基线化
SS-WB-003,宽带分析,支持滚轮缩放、框选缩放、平移、复位、十字游标、单双游标测量和范围历史。,P0,M1,D/T,每项交互存在且结果可复现。,10.1,已基线化
SS-WB-004,宽带分析,时域、频谱和时频图应支持统一时间范围联动。,P0,M1,T,任一视图修改时间范围，其他启用联动的视图同步。,10.2,已基线化
SS-WB-005,宽带分析,时间轴、频率轴、游标、选区和通道联动应可分别启停。,P0,M2,D/T,各联动开关独立生效。,10.2,已基线化
SS-WB-006,宽带分析,重计算期间应保留旧结果或低分辨率结果，避免空白闪烁。,P0,M1,D/T,连续缩放时无空白主视图。,10.2,已基线化
SS-WB-007,宽带分析,信号区域应支持创建、移动、缩放、复制、删除、锁定、重命名、改色、标签和备注。,P0,M2,T,区域操作保存后可恢复。,10.3,已基线化
SS-WB-008,宽带分析,信号区域应支持合并、拆分、导入和导出。,P1,M3,T,至少 JSON/CSV 之一可往返。,10.3,已基线化
SS-WB-009,宽带分析,一个信号区域应可关联多个窄带通道。,P0,M2,T,AT-004 通过。,10.3,已基线化
SS-WB-010,宽带分析,删除或修改已关联区域时，系统应提供明确的关联处理策略。,P0,M2,T,删除提示包含级联删除、解除关联和取消；修改支持更新/提示/冻结。,10.3,已基线化
SS-WB-011,宽带分析,信号区域列表应支持按时间、中心频率、带宽、标签、来源、识别结果、置信度和解调状态排序筛选。,P1,M3,D,列表字段和筛选器可用。,10.4,已基线化
SS-WB-012,宽带分析,数据模型应允许一个逻辑信号包含多个不连续时间片。,P0,M2,I/T,序列化结构可保存多个片段；无需 V1.0 完成跳频算法。,10.4,已基线化
SS-WB-013,宽带分析,自动检测算法及批量建通道作为 P1/P2 扩展，核心接口需预留。,P1,M3,I,检测结果可通过统一 SignalRegion API 注入。,10.5,已基线化
SS-WB-014,宽带分析,频谱统计范围应明确区分可见范围、当前选区、指定范围和全文件概要。,P0,M1,D/T,UI 显示当前统计范围且计算结果对应。,10.2,已基线化
SS-NB-001,窄带分析,应可从宽带信号区域创建窄带分析通道。,P0,M2,T,AT-003 通过。,11.1,已基线化
SS-NB-002,窄带分析,通道应继承数据源、原始样本范围、频率范围、带宽、采样率、数据格式和幅度标定。,P0,M2,I/T,通道属性与来源区域一致且可追溯。,11.1,已基线化
SS-NB-003,窄带分析,系统应推荐频移、滤波带宽、过渡带、抽取倍率和输出采样率，允许用户覆盖。,P0,M2,T,合法区域能生成建议；修改后重新校验。,11.1,已基线化
SS-NB-004,窄带分析,创建通道前必须检查频率越界、奈奎斯特条件、抗混叠、时间范围和资源预算。,P0,M2,T,非法配置被阻止并给出原因。,11.1,已基线化
SS-NB-005,窄带分析,窄带模式应提供时域、精细频谱和精细时频图。,P0,M2,D/T,三视图使用通道处理后数据。,11.2,已基线化
SS-NB-006,窄带分析,参数估计结果、处理链、任务状态和错误状态应在窄带分析页可见。,P0,M3,D,状态与后台任务一致。,11.2,已基线化
SS-NB-007,窄带分析,星座图和眼图为 P1 功能，不作为 V1.0 P0 发布阻断项。,P1,M3,T,满足第15节前置条件与导出要求。,"11.2, 15",已基线化
SS-NB-008,窄带分析,分析页应支持标签页、重命名、复制、冻结和关闭。,P0,M2,D/T,操作后状态可保存恢复。,11.3,已基线化
SS-NB-009,窄带分析,并排比较、浮动窗口和模板保存为 P1 功能。,P1,M3,D,多通道比较工作区可用。,11.3,已基线化
SS-NB-010,窄带分析,非活动通道可降低优先级，但不得丢失已完成结果。,P0,M2,T,切换通道后结果保持，任务优先级符合调度策略。,11.3,已基线化
SS-NB-011,窄带分析,单项目应支持至少 16 个逻辑窄带通道，至少 4 个通道同时处于活动或可见状态。,P0,M2,T,16 通道项目可保存恢复；4 通道并行不崩溃。,20.7,已基线化
SS-NB-012,窄带分析,通道处理参数变化应仅使受影响节点及其下游结果失效。,P0,M2,T,修改滤波参数不会无故重算无关数据源索引。,"13, 20.5",已基线化
SS-LNK-001,宽窄带联动,联动应覆盖坐标、状态、视图定位、结果、生命周期和持久化。,P0,M2,T,AT-003、AT-008 通过。,12.1,已基线化
SS-LNK-002,宽窄带联动,宽带区域变化可同步更新通道时间范围、中心频率、带宽、滤波和输出采样率。,P0,M2,T,三种策略：自动更新、提示更新、冻结可配置。,12.2,已基线化
SS-LNK-003,宽窄带联动,双击宽带通道覆盖层应激活对应窄带页。,P0,M2,D,对象映射唯一且定位正确。,12.2,已基线化
SS-LNK-004,宽窄带联动,窄带时间范围变化时，应可定位宽带到相同原始样本范围。,P0,M2,T,误差不超过 1 个原始样本。,12.3,已基线化
SS-LNK-005,宽窄带联动,窄带修正中心频率和带宽时，应允许回写原信号区域。,P0,M2,T,回写后覆盖层和属性一致。,12.3,已基线化
SS-LNK-006,宽窄带联动,识别结果应可回写调制类型、Top-K、置信度、模型版本和人工确认状态。,P1,M3,T,启用识别模块时字段完整。,"12.3, 16",已基线化
SS-LNK-007,宽窄带联动,解调结果应可回写解调器、状态、帧数、校验率和摘要。,P1,M3,T,启用解调模块时字段完整。,"12.3, 17",已基线化
SS-LNK-008,宽窄带联动,“定位到宽带”应切换数据源、定位时间频率并高亮区域。,P0,M2,D/T,跨数据源项目中定位正确。,12.3,已基线化
SS-LNK-009,宽窄带联动,每个通道应具有唯一颜色或编号并在宽带覆盖层显示状态。,P0,M2,D,活动通道突出显示。,12.4,已基线化
SS-LNK-010,宽窄带联动,宽带区域与窄带通道冲突时，应支持宽带更新窄带、窄带更新宽带、保持独立或创建副本。,P0,M2,T,四种策略均可选择且无静默覆盖。,12.5,已基线化
SS-DSP-001,DSP 处理链,处理链应由可配置节点构成，支持启停、参数化、预览、后台执行、取消、缓存、版本追踪和局部重算。,P0,M2,I/T,节点状态可序列化，修改参数仅重算下游。,13,已基线化
SS-DSP-002,DSP 处理链,应支持格式转换、IQ/QI 校正和去直流。,P0,M2,T,与参考实现容差一致。,"13.1, 13.2",已基线化
SS-DSP-003,DSP 处理链,数字下变频应使用相位连续 NCO 并支持分块状态连续。,P0,M2,T,跨块单音无相位跳变，频移误差满足矩阵。,13.3,已基线化
SS-DSP-004,DSP 处理链,至少支持 FIR 低通、FIR 带通、窗函数设计和自定义系数。,P0,M2,T,幅频响应、长度和稳定性与参考实现一致。,13.4,已基线化
SS-DSP-005,DSP 处理链,应支持整数抽取、有理数重采样、多相滤波、抗混叠和块边界状态连续。,P0,M2,T,输出长度误差不超过 1 样本且无明显块边界伪影。,13.5,已基线化
SS-DSP-006,DSP 处理链,FFT 应支持幅度谱、功率谱、PSD、平均、峰值保持和最大保持。,P0,M1,T,已知单音/噪声参考用例通过。,13.6,已基线化
SS-DSP-007,DSP 处理链,FFT/PSD 应进行窗函数增益和 ENBW 补偿。,P0,M1,A/T,功率测量满足 SS-ACC-005。,13.6,已基线化
SS-DSP-008,DSP 处理链,STFT 应支持 FFT 长度、步长、重叠率、窗函数、线性/dB 和分辨率提示。,P0,M1,T,参数变化触发正确缓存失效。,13.7,已基线化
SS-DSP-009,DSP 处理链,应允许缓存原始选区、频移后、滤波后、抽取后和重采样后 IQ。,P0,M2,I/T,缓存键含处理参数和版本，命中结果一致。,13,已基线化
SS-DSP-010,DSP 处理链,同步后符号、软/硬比特、帧、音频和协议结构为 P1 结果类型。,P1,M3,I/T,统一 AnalysisResult 可表达上述类型。,"13, 17",已基线化
SS-DSP-011,DSP 处理链,包络、瞬时频率、瞬时相位和自相关为 P1；循环谱和高阶统计为 P2。,P1,M3,I,扩展节点接口可注册。,13.8,已基线化
SS-DSP-012,DSP 处理链,任何 DSP 节点失败不得破坏项目或覆盖上一次有效结果。,P0,M4,T,故障注入后项目可继续使用并可重试。,"27, 28.3",已基线化
SS-EST-001,参数估计,P0 应支持中心频率、载波频偏、占用带宽、3 dB/6 dB 带宽、信号功率、峰值功率、噪声底、SNR 和突发起止时间。,P0,M3,T,各指标在适用基准数据上满足验收容差。,14,已基线化
SS-EST-002,参数估计,符号率、采样时钟偏差和初相位估计为 P1。,P1,M3,T,启用时附质量指标。,14,已基线化
SS-EST-003,参数估计,无标定时默认 dBFS；有标定时允许 dBm 等物理单位。,P0,M1,T,单位切换使用明确标定参数。,14,已基线化
SS-EST-004,参数估计,带宽结果必须标明 3 dB、6 dB、99% 占用、阈值或手工带宽类型。,P0,M3,I/T,结果对象和 UI 均显示方法。,14,已基线化
SS-EST-005,参数估计,SNR 结果必须记录算法、参数和适用条件。,P0,M3,I/T,导出结果含算法元数据。,14,已基线化
SS-EST-006,参数估计,估计失败或不可靠时应输出显式状态，不得以零值冒充有效结果。,P0,M3,T,低 SNR/短数据用例产生“不可靠/失败”状态。,14,已基线化
SS-VIS-001,可视化,主界面应包含项目树、中央图谱、属性/处理链、任务/日志和状态栏。,P0,M1,D,布局元素可访问且可调整。,21.1,已基线化
SS-VIS-002,可视化,图层系统至少包含原始图谱、信号区域、通道、游标、测量、标记和用户注释层。,P0,M2,D/T,图层可见性可独立控制。,21.2,已基线化
